Timestamp,Contact_1,Contact_2,Contact_3,Contact_4,Contact_5,Contact_6,curve_walking_stage
0.05,0,0,0,0,0,0,0
0.1,1,1,1,1,1,1,0
0.15000000000000002,1,1,1,1,1,1,0
0.2,1,0,1,0,1,1,0
0.25,1,0,1,0,1,1,0
0.3,1,1,1,1,1,0,0
0.35,0,1,1,1,1,0,0
0.39999999999999997,0,1,1,1,1,0,0
0.44999999999999996,0,1,1,1,0,0,0
0.49999999999999994,0,1,1,1,0,0,0
0.5499999999999999,0,1,1,1,0,0,0
0.6,0,1,1,1,1,0,0
0.65,0,1,1,1,1,0,0
0.7000000000000001,0,1,1,1,1,0,0
0.7500000000000001,0,1,1,1,1,0,0
0.8000000000000002,0,1,0,1,1,0,0
0.8500000000000002,0,1,1,1,1,0,0
0.9000000000000002,0,1,1,1,1,0,0
0.9500000000000003,0,1,1,1,1,0,0
1.0000000000000002,0,1,1,1,1,0,0
1.0500000000000003,0,1,1,1,1,0,0
1.1000000000000003,0,1,1,1,1,0,0
1.1500000000000004,0,1,1,1,1,0,0
1.2000000000000004,0,1,1,1,1,0,0
1.2500000000000004,0,1,1,1,1,0,0
1.3000000000000005,0,1,1,1,1,0,0
1.3500000000000005,0,1,1,1,1,0,0
1.4000000000000006,0,1,1,1,1,0,0
1.4500000000000006,0,1,0,1,1,0,0
1.5000000000000007,0,1,0,1,1,0,0
1.5500000000000007,0,1,0,1,1,0,0
1.6000000000000008,0,1,0,1,1,0,0
1.6500000000000008,0,1,0,1,1,0,0
1.7000000000000008,0,1,0,1,1,0,0
1.7500000000000009,0,1,0,1,1,0,0
1.800000000000001,0,1,0,1,1,0,0
1.850000000000001,0,1,0,1,1,0,0
1.900000000000001,1,0,1,0,1,0,0
1.950000000000001,1,0,1,0,1,0,0
2.000000000000001,1,0,1,0,1,0,0
2.0500000000000007,1,0,1,0,1,0,0
2.1000000000000005,1,0,1,0,1,0,0
2.1500000000000004,1,0,1,0,1,0,0
2.2,1,0,1,0,1,0,0
2.25,1,0,1,0,1,0,0
2.3,1,0,1,0,1,1,0
2.3499999999999996,1,0,1,0,1,1,0
2.3999999999999995,1,0,1,0,0,1,0
2.4499999999999993,1,0,1,0,0,1,0
2.499999999999999,1,0,1,0,0,1,0
2.549999999999999,1,0,1,0,0,1,0
2.5999999999999988,1,0,1,0,0,1,0
2.6499999999999986,1,0,1,0,0,1,0
2.6999999999999984,1,0,1,0,0,1,0
2.7499999999999982,1,0,1,0,0,1,0
2.799999999999998,1,0,1,0,0,1,0
2.849999999999998,1,0,1,0,0,1,0
2.8999999999999977,1,0,1,0,0,1,0
2.9499999999999975,1,0,1,0,0,1,0
2.9999999999999973,1,0,1,0,0,1,0
3.049999999999997,1,0,1,0,0,1,0
3.099999999999997,1,0,1,0,0,1,0
3.149999999999997,1,0,1,0,0,1,0
3.1999999999999966,1,0,1,0,0,1,0
3.2499999999999964,1,0,1,0,0,1,0
3.2999999999999963,1,0,1,0,0,1,0
3.349999999999996,1,0,1,0,0,1,0
3.399999999999996,1,0,0,0,0,1,0
3.4499999999999957,1,0,0,0,0,1,0
3.4999999999999956,1,0,0,0,0,1,0
3.5499999999999954,1,0,0,0,0,1,0
3.599999999999995,1,0,0,0,0,1,0
3.649999999999995,1,0,0,0,0,1,0
3.699999999999995,1,0,0,0,0,1,0
3.7499999999999947,1,0,0,0,0,1,0
3.7999999999999945,1,0,0,0,1,1,0
3.8499999999999943,1,0,0,0,1,1,0
