Timestamp,Contact_1,Contact_2,Contact_3,Contact_4,Contact_5,Contact_6
122.0,0.0,0.0,1.0,1.0,1.0,1.0
122.05,0.0,0.0,1.0,1.0,1.0,1.0
122.1,0.0,0.0,1.0,1.0,1.0,1.0
122.14999999999999,0.0,0.0,1.0,1.0,1.0,1.0
122.19999999999999,0.0,0.0,1.0,1.0,1.0,1.0
122.24999999999999,0.0,0.0,1.0,1.0,1.0,1.0
122.29999999999998,0.0,0.0,1.0,1.0,1.0,1.0
122.34999999999998,0.0,0.0,1.0,1.0,1.0,1.0
122.39999999999998,0.0,0.0,1.0,1.0,1.0,1.0
122.44999999999997,0.0,0.0,1.0,1.0,1.0,1.0
122.49999999999997,0.0,0.0,1.0,1.0,1.0,1.0
122.54999999999997,0.0,0.0,1.0,1.0,1.0,1.0
122.59999999999997,0.0,0.0,1.0,1.0,1.0,1.0
122.64999999999996,0.0,0.0,1.0,1.0,1.0,1.0
122.69999999999996,0.0,0.0,1.0,1.0,1.0,1.0
122.74999999999996,0.0,0.0,1.0,1.0,1.0,1.0
122.79999999999995,0.0,0.0,1.0,1.0,1.0,1.0
122.84999999999995,0.0,0.0,1.0,1.0,1.0,1.0
122.89999999999995,0.0,0.0,1.0,1.0,1.0,1.0
122.94999999999995,1.0,1.0,1.0,1.0,1.0,1.0
122.99999999999994,1.0,1.0,1.0,1.0,1.0,1.0
123.04999999999994,1.0,1.0,1.0,1.0,1.0,1.0
123.09999999999994,1.0,1.0,1.0,1.0,1.0,1.0
123.14999999999993,1.0,1.0,1.0,1.0,1.0,1.0
123.19999999999993,1.0,0.0,1.0,1.0,1.0,1.0
123.24999999999993,1.0,0.0,1.0,1.0,1.0,1.0
123.29999999999993,1.0,0.0,1.0,1.0,1.0,1.0
123.34999999999992,1.0,0.0,1.0,1.0,1.0,1.0
123.39999999999992,1.0,0.0,1.0,1.0,1.0,1.0
123.44999999999992,1.0,0.0,1.0,1.0,1.0,1.0
123.49999999999991,1.0,0.0,1.0,1.0,1.0,1.0
123.54999999999991,1.0,0.0,1.0,1.0,1.0,1.0
123.59999999999991,1.0,0.0,1.0,1.0,1.0,1.0
123.6499999999999,1.0,0.0,1.0,1.0,1.0,1.0
123.6999999999999,1.0,0.0,1.0,1.0,1.0,1.0
123.7499999999999,1.0,0.0,1.0,1.0,1.0,1.0
123.7999999999999,1.0,0.0,1.0,1.0,1.0,1.0
123.8499999999999,1.0,0.0,1.0,1.0,1.0,1.0
123.89999999999989,1.0,0.0,1.0,1.0,1.0,1.0
