Leg,Timestamp,Phase,Contact
13,562.941,1,0
2,562.941,1,0
5,563.195,1,1
19,563.196,1,1
13,563.197,0,0
2,563.197,1,1
5,563.451,1,1
19,563.452,1,1
2,563.453,1,1
13,563.453,0,0
5,563.707,1,1
19,563.708,1,1
2,563.7090000000001,0,0
13,563.7090000000001,0,0
5,563.963,1,1
19,563.9639999999999,1,1
13,563.965,0,0
2,563.965,0,1
5,564.219,1,1
19,564.22,1,1
2,564.221,0,1
13,564.221,0,0
5,564.475,1,1
19,564.476,1,1
2,564.477,0,1
13,564.477,0,0
5,564.731,1,1
19,564.732,1,1
2,564.733,1,1
13,564.733,0,0
5,564.987,1,1
19,564.988,1,1
13,564.989,0,0
2,564.99,1,1
5,565.2429999999999,1,1
13,565.245,0,0
19,565.245,1,1
2,565.246,1,1
5,565.499,1,1
13,565.501,1,1
19,565.501,1,1
2,565.502,1,1
5,565.755,1,1
19,565.7570000000001,1,1
13,565.758,1,1
2,565.759,1,1
5,566.011,0,0
19,566.013,1,1
13,566.014,1,1
2,566.015,1,1
5,566.267,0,0
19,566.269,0,0
13,566.27,1,1
2,566.271,1,1
5,566.523,0,0
19,566.525,0,0
13,566.526,1,1
2,566.527,1,1
5,566.779,0,0
19,566.781,0,0
13,566.782,1,1
2,566.783,0,0
5,567.035,0,0
19,567.038,0,0
13,567.038,1,1
2,567.039,1,1
5,567.2909999999999,0,0
19,567.294,0,0
13,567.294,1,1
2,567.295,0,0
5,567.547,0,0
19,567.55,0,0
13,567.55,1,1
2,567.551,0,0
5,567.803,0,0
13,567.806,1,1
19,567.806,0,0
2,567.807,0,0
5,568.059,0,0
19,568.062,0,0
13,568.062,1,1
2,568.064,0,0
5,568.315,0,0
13,568.318,1,1
19,568.318,0,0
2,568.3199999999999,1,1
5,568.571,0,0
19,568.574,0,0
13,568.574,1,1
2,568.576,1,1
5,568.827,1,1
13,568.83,1,1
19,568.83,0,0
2,568.832,1,1
5,569.083,1,1
19,569.086,1,1
13,569.086,1,1
2,569.088,1,1
5,569.3389999999999,1,1
13,569.342,1,1
19,569.342,1,1
2,569.344,1,1
5,569.595,1,1
13,569.598,1,1
2,569.6,1,1
19,569.6,1,1
5,569.851,1,1
13,569.854,1,0
2,569.856,1,1
19,569.856,1,1
5,570.107,1,1
13,570.11,0,0
2,570.112,1,1
19,570.112,1,1
5,570.363,1,0
13,570.366,0,0
19,570.3679999999999,1,1
2,570.3679999999999,1,1
5,570.619,1,0
13,570.622,0,0
19,570.624,1,1
2,570.624,1,1
5,570.875,1,0
13,570.878,0,0
2,570.88,1,1
19,570.88,1,1
5,571.131,1,1
13,571.134,0,0
19,571.136,1,1
2,571.137,1,1
5,571.387,1,1
13,571.39,0,0
19,571.392,1,1
2,571.394,1,1
5,571.643,1,1
13,571.646,0,0
19,571.648,1,1
2,571.651,1,1
5,571.899,0,0
13,571.902,0,0
19,571.904,1,1
2,571.907,1,1
5,572.155,0,1
13,572.158,0,0
19,572.16,1,1
2,572.165,0,0
13,572.414,1,1
19,572.4159999999999,1,1
2,572.421,0,0
5,572.667,0,1
13,572.67,1,1
19,572.672,0,0
2,572.677,0,0
5,572.923,0,1
13,572.926,1,1
19,572.928,0,0
2,572.933,0,0
5,573.179,0,0
13,573.182,1,1
19,573.184,0,0
2,573.189,1,1
5,573.435,0,0
13,573.439,1,1
19,573.44,0,0
2,573.4449999999999,1,1
5,573.691,0,0
13,573.6949999999999,1,1
19,573.696,0,0
2,573.701,1,1
5,573.947,0,0
13,573.951,1,1
19,573.952,0,0
2,573.958,1,1
5,574.204,0,0
13,574.207,1,1
19,574.208,0,0
2,574.2139999999999,1,1
5,574.46,1,1
13,574.463,1,1
19,574.4639999999999,0,0
2,574.47,1,1
5,574.716,1,1
13,574.719,1,1
19,574.72,0,0
2,574.726,1,1
5,574.973,1,1
13,574.975,1,1
19,574.976,0,0
2,574.982,1,1
5,575.229,1,1
13,575.231,1,1
19,575.232,0,0
2,575.238,1,1
5,575.485,1,1
13,575.487,1,1
19,575.488,0,0
2,575.494,1,1
5,575.741,1,1
13,575.7429999999999,1,1
19,575.744,1,1
2,575.75,1,1
5,575.997,1,1
13,575.999,0,0
19,576.0,1,1
2,576.006,1,1
5,576.253,1,1
13,576.255,0,0
19,576.256,1,1
2,576.262,1,1
5,576.509,1,1
13,576.511,0,0
19,576.512,1,1
2,576.518,1,1
5,576.765,1,1
13,576.767,0,0
19,576.768,1,1
2,576.775,1,1
5,577.021,1,1
13,577.023,0,0
19,577.024,1,1
2,577.031,1,1
5,577.277,1,1
13,577.279,0,0
19,577.281,1,1
2,577.287,1,1
5,577.533,1,1
13,577.535,0,0
19,577.537,1,1
2,577.543,0,0
13,577.7909999999999,0,0
