Leg,Timestamp,Phase,Contact
17,543.963,1,0
18,543.963,1,0
13,543.963,1,0
5,544.218,1,0
17,544.219,1,0
13,544.219,1,0
18,544.219,1,0
5,544.474,1,1
18,544.475,1,1
17,544.475,0,0
13,544.476,1,1
17,544.731,0,0
18,544.731,1,1
13,544.732,1,1
5,544.986,1,1
18,544.987,1,1
17,544.987,1,1
13,544.988,1,1
5,545.242,1,1
18,545.243,1,1
17,545.243,1,1
13,545.244,1,1
5,545.498,1,1
17,545.499,1,1
18,545.499,1,1
13,545.5,0,0
5,545.754,1,1
18,545.755,1,1
17,545.755,1,1
13,545.756,0,0
5,546.01,1,1
18,546.011,1,1
17,546.011,1,1
13,546.012,0,0
5,546.266,1,1
18,546.267,1,1
17,546.267,1,1
13,546.268,0,0
5,546.522,1,1
17,546.523,1,1
18,546.523,1,1
13,546.524,0,0
5,546.778,1,1
17,546.779,1,1
18,546.779,1,0
13,546.78,0,0
5,547.034,1,1
17,547.035,1,1
18,547.035,1,1
13,547.0360000000001,1,1
5,547.29,0,0
18,547.2909999999999,1,1
17,547.2909999999999,1,1
13,547.292,1,1
5,547.546,0,0
18,547.547,1,1
17,547.547,1,1
13,547.548,1,1
5,547.802,0,0
18,547.803,1,1
17,547.803,1,1
13,547.805,1,1
5,548.058,0,0
18,548.059,1,1
17,548.059,1,1
13,548.061,1,1
5,548.314,0,0
18,548.315,1,1
17,548.315,1,1
13,548.317,1,1
5,548.57,0,0
18,548.571,1,1
17,548.572,1,1
13,548.573,1,1
5,548.826,1,1
18,548.827,1,1
17,548.828,1,1
13,548.829,1,1
5,549.082,1,1
18,549.083,1,1
17,549.0840000000001,1,1
13,549.085,1,1
5,549.338,1,1
18,549.3389999999999,0,0
17,549.34,1,1
13,549.341,1,1
5,549.594,1,1
18,549.595,0,0
17,549.596,1,1
13,549.597,1,1
5,549.85,1,1
18,549.851,0,0
17,549.852,1,1
13,549.853,1,1
5,550.106,1,1
18,550.107,0,0
17,550.108,1,1
13,550.109,1,1
5,550.362,1,1
18,550.363,0,0
17,550.364,1,1
13,550.365,1,1
5,550.618,1,1
18,550.619,0,0
17,550.62,1,1
13,550.622,1,1
5,550.874,1,1
18,550.875,0,0
17,550.876,1,1
13,550.878,1,1
5,551.13,1,1
18,551.131,1,1
17,551.132,1,1
13,551.134,1,1
5,551.386,1,1
18,551.387,1,1
17,551.388,1,1
13,551.39,0,0
5,551.642,1,1
18,551.643,1,1
17,551.644,1,1
13,551.646,0,0
5,551.898,1,1
18,551.899,1,0
17,551.9,1,1
13,551.902,0,0
5,552.154,1,1
18,552.155,1,1
17,552.157,1,1
13,552.158,0,1
5,552.41,1,1
18,552.4110000000001,1,1
17,552.413,0,0
13,552.414,0,1
5,552.6659999999999,1,1
18,552.667,1,1
17,552.669,0,0
13,552.67,0,0
5,552.922,1,1
18,552.923,1,1
17,552.925,0,0
13,552.926,0,0
5,553.178,1,1
18,553.179,1,1
17,553.181,0,0
13,553.182,0,0
5,553.434,1,1
18,553.435,1,1
17,553.437,0,0
13,553.438,1,1
5,553.69,1,1
18,553.691,1,1
13,553.694,1,1
17,553.694,0,0
5,553.946,0,0
18,553.947,1,1
17,553.95,0,0
13,553.95,1,1
5,554.202,0,0
18,554.203,1,1
13,554.206,1,1
17,554.206,0,0
5,554.458,0,0
18,554.4590000000001,1,1
13,554.462,1,1
17,554.462,0,0
5,554.7139999999999,0,0
18,554.715,1,1
17,554.718,0,0
13,554.718,1,1
5,554.97,0,0
18,554.971,1,1
17,554.974,0,0
13,554.974,1,1
5,555.226,0,0
18,555.227,1,1
17,555.23,0,0
13,555.23,1,1
5,555.483,0,0
18,555.483,1,1
17,555.486,0,0
13,555.487,1,1
5,555.739,0,0
18,555.739,1,1
17,555.742,0,0
5,555.995,0,0
18,555.995,1,1
17,555.998,0,0
13,555.999,1,1
18,556.251,1,1
5,556.251,1,1
17,556.254,1,1
13,556.255,1,1
18,556.507,0,0
5,556.507,1,1
17,556.51,1,1
13,556.511,1,0
18,556.763,0,0
5,556.763,1,1
17,556.766,1,1
13,556.767,1,0
18,557.019,0,0
5,557.019,1,1
17,557.022,1,1
13,557.023,0,0
5,557.275,1,1
18,557.275,0,0
17,557.278,1,1
13,557.279,0,0
5,557.531,1,1
18,557.531,0,0
17,557.534,1,1
13,557.535,0,0
18,557.787,0,0
5,557.787,1,1
17,557.79,1,1
13,557.7909999999999,0,0
