Leg,Timestamp,Phase,Contact
18,532.532,1,0
2,532.532,1,0
13,532.533,1,0
17,532.787,1,1
5,532.787,1,1
18,532.788,1,1
2,532.788,1,1
13,532.79,1,1
17,533.043,1,1
5,533.043,1,1
2,533.044,1,1
18,533.045,1,1
13,533.046,1,1
17,533.299,1,1
5,533.299,1,1
2,533.3,1,1
18,533.301,1,1
13,533.302,1,1
17,533.555,1,1
2,533.556,1,1
5,533.556,1,1
13,533.558,1,1
17,533.811,1,1
2,533.812,0,0
5,533.812,1,1
18,533.813,1,1
13,533.814,1,1
17,534.067,1,1
2,534.068,0,0
5,534.068,1,1
13,534.07,1,1
18,534.07,1,1
17,534.323,1,1
2,534.324,0,0
5,534.324,1,1
18,534.326,1,1
13,534.326,1,1
17,534.579,1,1
2,534.58,0,0
5,534.58,1,1
13,534.582,1,1
18,534.582,1,1
2,534.836,0,0
5,534.836,1,1
17,534.837,1,1
18,534.838,1,1
13,534.8389999999999,0,0
5,535.092,1,1
2,535.092,0,0
17,535.093,1,1
18,535.094,1,1
13,535.095,0,0
5,535.348,1,1
2,535.348,0,0
18,535.35,1,1
17,535.35,1,1
13,535.351,0,0
5,535.604,1,1
2,535.604,0,0
18,535.606,1,1
17,535.606,1,1
13,535.607,0,0
2,535.86,1,1
5,535.86,1,1
18,535.862,0,0
17,535.862,1,1
13,535.863,0,1
2,536.116,1,1
5,536.116,0,0
18,536.118,0,0
17,536.118,1,1
13,536.119,0,1
5,536.372,0,0
2,536.372,1,1
18,536.374,0,0
17,536.374,1,1
13,536.375,1,1
2,536.628,1,1
5,536.628,0,0
17,536.63,1,1
18,536.63,0,0
13,536.631,1,1
5,536.884,0,0
2,536.884,1,1
17,536.886,1,1
18,536.886,0,0
13,536.887,1,1
5,537.14,0,0
2,537.14,1,1
18,537.142,0,0
17,537.143,1,1
13,537.143,1,1
2,537.396,1,1
5,537.396,0,0
18,537.398,0,0
13,537.399,1,1
17,537.399,1,1
2,537.652,1,1
5,537.652,0,0
18,537.654,0,0
13,537.655,1,1
17,537.655,1,1
5,537.908,0,0
2,537.909,1,1
18,537.91,0,0
17,537.9110000000001,1,1
13,537.9110000000001,1,1
5,538.164,0,0
2,538.165,1,1
18,538.1659999999999,1,1
17,538.167,1,1
13,538.167,1,1
5,538.42,1,1
2,538.421,1,1
18,538.422,1,1
17,538.423,1,1
13,538.423,1,1
5,538.676,1,1
2,538.677,1,1
18,538.678,1,1
13,538.679,1,1
17,538.679,0,0
5,538.932,1,1
2,538.933,1,1
18,538.934,1,1
17,538.935,0,0
13,538.935,1,1
5,539.188,1,0
2,539.189,1,1
17,539.191,0,0
18,539.191,1,1
13,539.194,1,1
5,539.444,1,0
2,539.446,1,1
17,539.447,0,0
18,539.447,1,1
13,539.45,1,1
5,539.7,1,0
2,539.702,1,1
18,539.703,1,1
13,539.706,1,1
5,539.956,1,0
2,539.9590000000001,1,1
17,539.9590000000001,0,0
18,539.9590000000001,1,1
13,539.962,1,1
5,540.212,1,1
17,540.215,0,0
2,540.215,0,0
18,540.217,1,1
13,540.218,1,1
5,540.468,1,1
2,540.471,0,0
17,540.471,0,0
13,540.474,0,0
18,540.474,1,1
5,540.724,1,1
17,540.727,1,1
2,540.727,0,0
13,540.73,0,0
18,540.73,1,1
5,540.98,1,1
17,540.983,1,1
2,540.984,0,0
18,540.986,1,1
13,540.986,0,0
5,541.236,1,1
17,541.239,1,1
2,541.24,0,0
18,541.242,1,1
13,541.242,0,0
5,541.492,1,1
17,541.495,1,1
2,541.496,0,0
18,541.498,1,0
13,541.498,0,0
5,541.748,1,1
17,541.751,1,1
2,541.752,0,0
13,541.754,0,0
18,541.754,1,0
5,542.004,1,1
17,542.007,1,1
2,542.008,0,0
13,542.01,0,0
18,542.011,0,0
5,542.26,1,1
17,542.263,1,1
2,542.264,1,1
13,542.266,0,0
18,542.267,0,0
5,542.516,1,1
17,542.519,1,0
2,542.52,1,1
13,542.522,1,1
18,542.523,0,0
5,542.772,1,1
17,542.775,1,0
2,542.776,1,1
13,542.778,1,1
18,542.779,0,0
5,543.028,1,1
17,543.031,1,0
2,543.032,1,1
13,543.034,1,1
18,543.035,0,0
5,543.284,0,0
17,543.287,1,0
2,543.288,1,1
13,543.29,1,1
18,543.2909999999999,0,0
5,543.54,0,0
2,543.544,1,1
17,543.544,0,0
13,543.546,1,1
18,543.547,0,0
5,543.796,0,0
2,543.8,1,1
17,543.8,0,0
13,543.802,1,1
18,543.803,0,0
5,544.052,0,0
17,544.056,0,0
2,544.056,1,1
13,544.058,1,1
18,544.059,1,1
5,544.308,0,0
17,544.312,0,0
2,544.312,1,1
13,544.314,1,1
18,544.315,1,1
5,544.564,0,0
17,544.569,0,0
2,544.569,1,1
13,544.57,1,1
18,544.571,1,1
5,544.82,0,0
2,544.825,1,1
17,544.825,0,0
13,544.826,1,1
18,544.827,1,1
5,545.076,0,0
2,545.081,1,1
17,545.081,0,0
