Leg,Timestamp,Phase,Contact
2,2535.765,1,0
2,2536.022,0,0
2,2536.278,0,0
2,2536.79,0,0
2,2537.046,0,0
2,2537.302,0,0
2,2537.558,0,0
2,2537.814,0,0
2,2538.07,1,1
2,2538.326,1,1
2,2538.582,1,1
2,2538.838,1,1
2,2539.094,1,1
2,2539.35,1,1
2,2539.607,1,1
2,2539.864,1,1
2,2540.12,1,1
2,2540.376,1,1
2,2540.632,1,1
2,2540.888,1,1
2,2541.144,1,1
2,2541.4,1,1
2,2541.657,1,1
2,2541.913,1,1
2,2542.169,1,1
2,2542.425,0,0
2,2542.681,0,0
2,2542.937,0,0
2,2543.193,0,0
2,2543.449,0,0
2,2543.705,0,0
2,2543.961,0,0
2,2544.217,0,0
2,2544.473,0,0
2,2544.729,0,0
2,2544.985,1,1
2,2545.241,1,1
2,2545.497,1,1
2,2545.753,1,1
2,2546.009,1,1
2,2546.265,1,1
2,2546.521,1,1
2,2546.777,1,1
2,2547.033,1,1
2,2547.289,1,1
2,2547.545,1,1
2,2547.801,1,1
2,2548.057,1,1
2,2548.313,1,1
2,2548.57,1,1
2,2548.826,1,1
2,2549.082,0,0
2,2549.338,0,0
2,2549.594,0,0
2,2549.851,0,0
2,2550.107,0,0
2,2550.363,0,0
2,2550.619,0,0
2,2550.875,0,0
2,2551.131,0,0
2,2551.387,0,0
2,2551.643,0,0
2,2551.899,0,0
2,2552.155,1,1
2,2552.411,1,1
2,2552.667,1,1
2,2552.923,1,1
2,2553.179,1,1
2,2553.435,1,1
2,2553.691,1,1
2,2553.947,1,1
2,2554.203,1,1
2,2554.459,1,1
2,2554.715,1,1
2,2554.971,1,1
2,2555.228,1,1
2,2555.484,1,1
2,2555.74,1,1
2,2555.996,0,1
2,2556.252,1,1
2,2556.508,1,1
2,2556.764,1,1
2,2557.02,1,1
2,2557.276,1,1
2,2557.533,1,1
2,2557.789,1,1
2,2558.045,1,1
2,2558.301,1,1
2,2558.557,1,1
2,2558.813,0,0
2,2559.069,0,0
2,2559.325,0,0
2,2559.581,0,0
2,2559.838,0,0
2,2560.094,0,0
