Leg,Timestamp,Phase,Contact
18,529.923,1,0
17,530.178,1,0
2,530.178,1,0
13,530.178,1,1
19,530.178,1,0
5,530.178,1,0
18,530.179,1,0
19,530.434,1,1
5,530.434,1,1
17,530.434,0,0
13,530.434,1,1
18,530.435,1,1
19,530.69,1,1
17,530.69,0,0
13,530.69,1,1
5,530.69,1,1
2,530.69,0,0
18,530.691,1,1
17,530.946,0,0
19,530.946,1,1
5,530.946,1,1
13,530.946,1,1
2,530.946,0,0
18,530.947,1,1
17,531.202,0,0
5,531.202,1,1
2,531.202,0,0
19,531.202,1,1
13,531.202,1,1
18,531.203,1,1
5,531.458,1,1
13,531.458,1,1
2,531.458,0,0
17,531.458,0,0
18,531.459,1,1
19,531.459,1,1
5,531.7139999999999,1,1
13,531.7139999999999,0,0
2,531.7139999999999,0,0
17,531.7139999999999,1,1
18,531.715,1,1
19,531.715,1,1
5,531.97,1,1
2,531.97,0,0
13,531.97,0,0
18,531.971,1,1
19,531.971,1,1
2,532.226,0,0
13,532.226,0,0
5,532.226,1,1
17,532.227,1,1
19,532.227,1,1
18,532.227,1,1
2,532.482,0,0
5,532.482,1,1
13,532.482,0,0
17,532.483,1,1
19,532.483,1,1
18,532.484,1,1
5,532.738,1,1
13,532.738,0,0
2,532.738,1,1
17,532.739,1,1
18,532.74,1,1
19,532.74,1,1
13,532.994,0,0
5,532.994,1,1
2,532.994,1,1
17,532.995,1,1
18,532.996,0,0
19,532.996,1,1
13,533.25,0,0
5,533.25,1,1
2,533.25,1,1
17,533.251,1,1
18,533.252,0,0
19,533.252,1,1
13,533.506,0,0
5,533.506,0,0
2,533.506,1,1
17,533.507,1,1
18,533.508,0,0
19,533.508,1,1
5,533.762,0,0
2,533.762,1,1
13,533.762,1,1
17,533.763,1,1
19,533.764,1,1
18,533.764,0,0
2,534.018,1,1
13,534.018,1,1
5,534.018,0,0
17,534.019,1,1
19,534.02,1,1
18,534.02,0,0
5,534.274,0,0
2,534.274,1,1
13,534.274,1,1
17,534.275,1,1
18,534.276,0,0
19,534.276,1,1
5,534.53,0,0
13,534.53,1,1
2,534.53,1,1
17,534.531,1,1
18,534.532,0,0
19,534.533,1,1
5,534.7860000000001,0,0
13,534.7860000000001,1,1
2,534.7860000000001,1,1
17,534.787,1,1
18,534.788,0,0
19,534.789,0,0
13,535.042,1,1
2,535.042,1,1
17,535.043,1,1
18,535.044,0,0
19,535.045,0,0
5,535.298,0,0
2,535.298,1,1
13,535.298,1,1
17,535.299,1,1
18,535.3,0,0
19,535.301,0,0
13,535.554,1,1
5,535.554,0,0
2,535.555,1,1
17,535.555,1,1
18,535.557,0,0
19,535.557,0,0
13,535.81,1,1
5,535.81,0,0
2,535.811,1,1
17,535.811,1,1
19,535.813,0,0
18,535.813,0,0
13,536.066,1,1
5,536.067,0,0
17,536.067,1,1
2,536.068,1,1
19,536.069,0,0
18,536.069,1,1
13,536.322,1,1
17,536.323,1,1
5,536.323,0,0
2,536.324,1,1
19,536.325,0,0
18,536.325,1,1
13,536.578,1,1
5,536.579,1,1
2,536.58,1,1
17,536.58,1,1
18,536.581,1,1
19,536.581,0,0
5,536.835,1,1
17,536.836,1,1
2,536.836,1,1
13,536.836,1,1
18,536.837,1,1
